日期,交易类型,股票名称,交易股票数量,交易后持仓数量,交易价格,DCF估值,价值比(%),估值状态,价值比描述,交易金额,手续费,交易原因,收盘价,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,价值比过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值,RSI极端超买阈值,RSI极端超卖阈值
2024/03/29,卖出,中国神华(601088),8200,33100,39.09,45.00,86.9,低估,当前价格低估13.1%，但未达到安全边际要求,320538.0,711.59,转现金,39.09,67.49,2.32,1.967,0.353,41.43,34.59,27.75,1812477,0.97,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/04/03,卖出,中国神华(601088),6600,26500,39.59,45.00,88.0,低估,当前价格低估12.0%，但未达到安全边际要求,261294.0,580.07,转现金,39.59,68.68,2.363,2.0462,0.3168,41.98,35.01,28.04,989037,0.59,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/04/12,卖出,中国神华(601088),5300,21200,39.73,45.00,88.3,低估,当前价格低估11.7%，但未达到安全边际要求,210569.0,467.46,转现金,39.73,69.02,2.381,2.1132,0.2678,42.44,35.46,28.47,1136967,0.81,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/04/30,卖出,中国神华(601088),4200,17000,39.83,45.00,88.5,低估,当前价格低估11.5%，但未达到安全边际要求,167286.0,371.37,转现金,39.83,63.31,2.3726,2.2735,0.0991,43.54,36.86,30.19,715200,0.61,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/05/10,卖出,中国神华(601088),3400,13600,40.97,45.00,91.0,低估,当前价格低估9.0%，但未达到安全边际要求,139298.0,309.24,转现金,40.97,66.15,2.3763,2.2941,0.0823,43.59,37.39,31.19,1432532,1.16,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/05/24,卖出,中国神华(601088),2700,10900,41.31,45.00,91.8,低估,当前价格低估8.2%，但未达到安全边际要求,111537.0,247.61,转现金,41.31,64.94,2.2671,2.2842,-0.0171,43.3,38.31,33.33,1142076,1.05,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/06/21,买入,人福医药(600079),19100,114800,17.6,28.00,62.9,低估,当前价格低估37.1%，符合安全边际要求,336160.0,410.12,持仓增持,17.6,35.39,-1.0862,-0.9936,-0.0927,22.08,19.87,17.66,700954,1.33,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,化学制药,62.053,40.319,69.378,37.618
2024/06/28,卖出,中国神华(601088),2100,8800,44.37,45.00,98.6,低估,当前价格低估1.4%，但未达到安全边际要求,93177.0,206.85,转现金,44.37,70.82,2.6661,2.4825,0.1836,44.99,40.62,36.26,1041641,0.89,轨道之间,✓,✓,✓,✗,3/4,卖出信号：价值比过滤器+2个卖出维度,煤炭开采,61.576,37.482,65.663,35.754
2024/06/28,买入,人福医药(600079),22900,137700,17.17,28.00,61.3,低估,当前价格低估38.7%，符合安全边际要求,393193.0,479.7,持仓增持,17.17,33.97,-1.189,-1.0326,-0.1564,22.26,19.79,17.33,490540,0.94,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,化学制药,62.053,40.319,69.378,37.618
2024/07/26,买入,中矿资源(002738),1800,11197,26.45,50.00,52.9,低估,当前价格低估47.1%，符合安全边际要求,47610.0,57.13,持仓增持,26.45,34.77,-3.2533,-2.8567,-0.3966,42.57,32.83,23.08,542753,0.98,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,59.581,37.448,63.784,35.003
2024/07/26,买入,神火股份(000933),93600,562000,16.78,37.00,45.4,低估,当前价格低估54.6%，符合安全边际要求,1570608.0,1884.73,持仓增持,16.78,37.15,0.1962,0.9797,-0.7834,25.36,21.48,17.61,1432870,1.12,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2024/07/26,买入,云铝股份(000807),68100,408900,11.92,25.00,47.7,低估,当前价格低估52.3%，符合安全边际要求,811752.0,974.1,持仓增持,11.92,39.07,0.0089,0.2682,-0.2592,15.78,14.0,12.21,1665637,1.0,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2024/08/02,买入,中矿资源(002738),2200,13397,26.3,50.00,52.6,低估,当前价格低估47.4%，符合安全边际要求,57860.0,69.43,持仓增持,26.3,34.52,-3.2533,-2.936,-0.3173,41.52,32.1,22.68,433461,0.79,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,小金属,59.581,37.448,63.784,35.003
2024/08/02,买入,神火股份(000933),112400,674400,16.13,37.00,43.6,低估,当前价格低估56.4%，符合安全边际要求,1813012.0,2175.61,持仓增持,16.13,35.4,-0.1581,0.7521,-0.9103,25.76,21.33,16.9,1562717,1.08,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,工业金属,63.173,41.468,63.921,40.645
2024/08/23,买入,淮北矿业(600985),7800,47000,13.46,20.00,67.3,低估,当前价格低估32.7%，符合安全边际要求,104988.0,128.09,持仓增持,13.46,33.32,-0.8451,-0.3259,-0.5193,21.31,17.0,12.7,889856,1.16,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,61.576,37.482,65.663,35.754
2024/09/13,买入,淮北矿业(600985),9400,56400,13.02,20.00,65.1,低估,当前价格低估34.9%，符合安全边际要求,122388.0,149.31,持仓增持,13.02,34.5,-0.996,-0.6202,-0.3758,20.73,16.24,11.74,776570,0.83,轨道之间,✓,✓,✓,✗,3/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,61.576,37.482,65.663,35.754
2025/02/21,买入,陕西煤业(601225),29200,175600,19.53,40.00,48.8,低估,当前价格低估51.2%，符合安全边际要求,570276.0,695.74,持仓增持,19.53,32.0,-0.9825,-0.6068,-0.3757,26.38,23.2,20.02,2341010,1.82,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,61.576,37.482,65.663,35.754
2025/04/11,买入,淮北矿业(600985),11200,67600,12.26,20.00,61.3,低估,当前价格低估38.7%，符合安全边际要求,137312.0,167.52,持仓增持,12.26,33.81,-0.5763,-0.5409,-0.0354,14.83,13.7,12.58,1072976,1.22,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,61.576,37.482,65.663,35.754
2025/06/20,买入,淮北矿业(600985),13500,81100,11.25,20.00,56.2,低估,当前价格低估43.8%，符合安全边际要求,151875.0,185.29,持仓增持,11.25,32.55,-0.6677,-0.6435,-0.0243,14.26,12.76,11.27,824703,1.07,下轨之下,✓,✓,✓,✓,4/4,买入信号：价值比过滤器+2个买入维度,煤炭开采,61.576,37.482,65.663,35.754
